#Date/Time;of;Update:;2017-11-20;3:07:27;PM;#Player;ID;#LastName;#FirstName;#Jersey;Num;#Position;#Height;#Weight;#Birth;Date;#Age;#Birth;City;#Birth;Country;#Rookie;#Team;ID;#Team;Abbr.;#Team;City;#Team;Name
;9363;Cole;Norris;30;PG;"6'2""";175;1988-10-12;29;;;N;96;OKL;Oklahoma;City;Thunder;;;;;;;;;;;;;
;13784;Collins;Zach;33;C;"7'0""";230;1997-11-19;20;North Las Vegas, NV;USA;Y;97;POR;Portland;Trail;Blazers;;;;;;;;;;;;;
;13737;Collins;John;20;C;"6'10""";235;1997-09-23;20;Layton, UT;USA;Y;91;ATL;Atlanta;Hawks;;;;;;;;;;;;;;
;9389;Collison;Nick;4;PF;"6'10""";255;1980-10-26;37;;;N;96;OKL;Oklahoma;City;Thunder;;;;;;;;;;;;;
;9460;Collison;Darren;7;PG;"6'0""";175;1987-08-22;30;;;N;87;IND;Indiana;Pacers;;;;;;;;;;;;;;
;9296;Conley;Mike;11;PG;"6'1""";175;1987-10-11;30;;;N;107;MEM;Memphis;Grizzlies;;;;;;;;;;;;;;
;9456;Connaughton;Pat;5;SG;"6'5""";206;1993-01-06;24;;;N;97;POR;Portland;Trail;Blazers;;;;;;;;;;;;;
;11981;Cook;Quinn;4;PG;"6'2""";179;1993-03-22;24;Washington, DC;USA;N;101;GSW;Golden;State;Warriors;;;;;;;;;;;;;
;13813;Cooke;Charles;4;SG;"6'5""";196;1994-07-01;23;Trenton, NJ;USA;Y;110;NOP;New;Orleans;Pelicans;;;;;;;;;;;;;
;13812;Cooley;Jack;45;PF;"6'10""";274;1991-04-12;26;Evanston, IL;USA;Y;103;SAC;Sacramento;Kings;;;;;;;;;;;;;;
;11952;Costello;Matt;10;PF;"6'10""";245;1993-08-04;24;Linwood, MI;USA;N;106;SAS;San;Antonio;Spurs;;;;;;;;;;;;;
;9457;Cousins;DeMarcus;15;C;"6'11""";270;1990-08-12;27;;;N;110;NOP;New;Orleans;Pelicans;;;;;;;;;;;;;
;9420;Covington;Robert;33;SF;"6'9""";215;1990-12-14;26;;;N;85;PHI;Philadelphia;76ers;;;;;;;;;;;;;;
;9448;Crabbe;Allen;33;SG;"6'6""";210;1992-04-08;25;;;N;84;BRO;Brooklyn;Nets;;;;;;;;;;;;;;
;13790;Craig;Torrey;3;SG;"6'6""";215;1990-12-19;26;Columbia, SC;USA;Y;99;DEN;Denver;Nuggets;;;;;;;;;;;;;;
;9662;Crawford;Drew;1;SG;"6'5""";209;1990-10-17;27;Naperville, IL;USA;N;81;TOR;Toronto;Raptors;;;;;;;;;;;;;;
